iter	RMSE
0	1.032918957
1	0.9726690682
2	0.9172522304
3	0.8728303871
4	0.8324035983
5	0.7980482101
6	0.7652293255
7	0.7375310145
8	0.7133768504
9	0.6930514605
10	0.6763636114
11	0.6615292871
12	0.6469949536
13	0.6338499725
14	0.6223206189
15	0.6117844236
16	0.6029555374
17	0.5956198926
18	0.5885259363
19	0.5816181493
20	0.5765740554
21	0.571768069
22	0.5676567826
23	0.5620435137
24	0.558496265
25	0.5550884102
26	0.5521937633
27	0.5499141189
28	0.5470273439
29	0.5447742126
30	0.5426826388
31	0.5405918497
32	0.5367959033
33	0.5351120986
34	0.5333102746
35	0.5314487775
36	0.529978202
37	0.5281468385
38	0.5263307333
39	0.5226987106
40	0.52093324
41	0.5197574106
42	0.5174300111
43	0.5164666277
44	0.51546549
45	0.514345853
46	0.5127283207
47	0.5117380002
48	0.5107593599
49	0.509421698
50	0.5081028871
51	0.5071499453
52	0.5059731031
53	0.5052110597
54	0.5034912045
55	0.5027493012
56	0.5019610184
57	0.5013184554
58	0.5003819691
59	0.4996460266
60	0.4984799557
61	0.4977764502
62	0.4973046532
63	0.496610097
64	0.4959137887
65	0.4947044136
66	0.4939990293
67	0.4934257575
68	0.4928001426
69	0.4914215297
70	0.4908248779
71	0.4898435082
72	0.4889675121
73	0.4884103741
74	0.4876227974
75	0.4869491849
76	0.4863304966
77	0.4858041601
78	0.485215867
79	0.4844419309
80	0.483708628
81	0.4833974914
82	0.4828580361
83	0.4824334828
84	0.4819917542
85	0.4815832452
86	0.4802571691
87	0.4799786533
88	0.4795977779
89	0.4787384173
90	0.4782068934
91	0.4775671191
92	0.4770237106
93	0.4765132861
94	0.4758849116
95	0.4754348357
96	0.475126268
97	0.4744900701
98	0.4740652893
99	0.4735974778
