iter	Passed	Remaining
0	3	309
1	6	306
2	8	287
3	11	282
4	14	274
5	16	264
6	20	272
7	23	265
8	25	257
9	28	257
10	31	251
11	33	246
12	36	245
13	39	240
14	41	234
15	44	235
16	47	231
17	50	230
18	53	226
19	55	221
20	57	218
21	60	215
22	63	211
23	65	208
24	68	205
25	70	201
26	73	197
27	75	195
28	78	191
29	80	187
30	88	197
31	92	195
32	94	192
33	97	190
34	100	186
35	103	183
36	105	179
37	108	176
38	110	172
39	112	169
40	115	166
41	118	163
42	120	160
43	123	157
44	125	153
45	128	150
46	131	148
47	133	144
48	135	141
49	138	138
50	141	135
51	143	132
52	146	129
53	148	126
54	151	123
55	153	120
56	156	117
57	158	114
58	160	111
59	163	109
60	166	106
61	168	103
62	171	100
63	173	97
64	176	94
65	178	92
66	181	89
67	183	86
68	186	83
69	189	81
70	191	78
71	194	75
72	197	72
73	199	70
74	202	67
75	205	64
76	207	61
77	210	59
78	212	56
79	214	53
80	217	50
81	219	48
82	221	45
83	224	42
84	227	40
85	229	37
86	232	34
87	235	32
88	237	29
89	239	26
90	242	24
91	245	21
92	247	18
93	250	15
94	252	13
95	255	10
96	258	7
97	260	5
98	262	2
99	266	0
