url,listing_type,name,price,category,bedrooms,bathrooms,floor_area,location,condition,amenities,region,locality,parking_space,is_furnished,lat,lng
https://tonaton.com/a-MfYFNdCgCTytOcmvZIh0KzrjiSbRMRl9-2bdrm-apartment-in-charclem-ventures-east-legon-for-rent.html,rentals,"2bdrm Apartment in Charclem Ventures, East Legon for rent",9196,Flats,2.0,2.0,145.0,"Greater Accra, East Legon",Used,"24-hour Electricity,Air Conditioning,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Refrigerator,Wardrobe,Wi-Fi",Greater Accra,East Legon,False,Semi-Furnished,5.6358281,-0.1613592
https://tonaton.com/a-MfYFNdCgwtb8Itol9odpMPvCZZRFrVFy-2bdrm-apartment-in-dzorwulu-for-rent.html,rentals,"2bdrm Apartment in , Dzorwulu for rent",7500,Flats,2.0,2.0,100.0,"Greater Accra, Dzorwulu",Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Dining Area,Hot Water,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wi-Fi",Greater Accra,Dzorwulu,False,Unfurnished,5.6141232,-0.1956471
https://tonaton.com/a-MfYFNdCgPjnzPYwNFEv5JrGyeceyvLpJ-4bdrm-house-in-lakeside-estate-for-rent.html,rentals,"4bdrm House in Lakeside Estate, for Rent",11200,Detached,4.0,5.0,100.0,"Greater Accra, Ashaley Botwe, Lake Side Estate",New,"Tiled Floor,Chandelier,Dining Area,Balcony,Pop Ceiling,Kitchen Cabinets,Kitchen Shelf,24-hour Electricity,Apartment,Microwave,Pre-Paid Meter,Hot Water,Dishwasher,Refrigerator,Air Conditioning,Wardrobe",Greater Accra,Ashaley Botwe,False,Semi-Furnished,5.6802129,-0.1372479
https://tonaton.com/a-MfYFNdCgwmXHQRNJiSR3rok8EI4EcYDX-3bdrm-house-in-ayathar-bedroom-teshie-for-rent.html,rentals,"3bdrm House in Ayathar Bedroom, Teshie for Rent",2500,Detached,3.0,3.0,17.0,"Greater Accra, Teshie",Used,"Pop Ceiling,Pre-Paid Meter,24-hour Electricity,Dishwasher,Tiled Floor,Kitchen Cabinets",Greater Accra,Teshie,False,Semi-Furnished,5.5831665,-0.1046082
https://tonaton.com/a-MfYFNdCgn3Bcs511lKnFE19iCmBzJfJw-3bdrm-house-in-manet-viile-estate-spintex-for-rent.html,rentals,"3bdrm House in Manet Viile Estate, Spintex for Rent",9146,Detached,3.0,3.0,160.0,"Greater Accra, Spintex",Used,"Pre-Paid Meter,Dining Area,Chandelier,Balcony,Tiled Floor,Kitchen Shelf,Microwave,24-hour Electricity,Pop Ceiling,Air Conditioning,Wardrobe,Wi-Fi,Dishwasher,Kitchen Cabinets",Greater Accra,Spintex,False,Semi-Furnished,5.6376136,-0.1266064
https://tonaton.com/a-MfYFNdCgYGBKqBhbO9kiCUhVXvlwj65W-2bdrm-apartment-in-spintex-for-rent.html,rentals,2bdrm Apartment in Spintex for rent,4010,Flats,2.0,2.0,112.0,"Greater Accra, Spintex",New,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Dining Area,Hot Water,Kitchen Cabinets",Greater Accra,Spintex,False,Unfurnished,5.6376136,-0.1266064
https://tonaton.com/a-MfYFNdCgLbj0jIBmVeQXqUo9gTPm3KNW-2bdrm-apartment-in-agbogba-for-rent.html,rentals,2bdrm Apartment in Agbogba for rent,2500,Flats,2.0,2.0,3000.0,"Greater Accra, Agbogba",Used,"24-hour Electricity,Apartment,Balcony,Kitchen Cabinets,Pop Ceiling,Tiled Floor",Greater Accra,Agbogba,False,Unfurnished,5.6944159,-0.2021951
https://tonaton.com/a-MfYFNdCghEgRVzoewLQObTCSY2zJY740-1bdrm-apartment-in-adenta-for-rent.html,rentals,1bdrm Apartment in Adenta for rent,2000,Flats,1.0,1.0,10.0,"Greater Accra, Adenta",Used,"Apartment,Kitchen Cabinets,Pop Ceiling,Tiled Floor",Greater Accra,Adenta,False,Unfurnished,5.7141674,-0.15418
https://tonaton.com/a-MfYFNdCgQEq5OijefKuGIXUpSEPgMpNV-2bdrm-apartment-in-legacy-solid-real-teshie-for-rent.html,rentals,"2bdrm Apartment in Legacy Solid Real, Teshie for Rent",1800,Flats,2.0,3.0,15.0,"Greater Accra, Teshie",New,"24-hour Electricity,Apartment,Tiled Floor,Pre-Paid Meter,Dishwasher,Kitchen Cabinets,Pop Ceiling",Greater Accra,Teshie,False,Unfurnished,5.5831665,-0.1046082
https://tonaton.com/a-MfYFNdCghZefYhlxwSAnIdfC3eAOOYrI-3bdrm-apartment-in-lashibi-emef-spintex-for-rent.html,rentals,"3bdrm Apartment in Lashibi-Emef, Spintex for rent",6000,Flats,3.0,4.0,990.0,"Greater Accra, Spintex",New,"24-hour Electricity,Apartment,Balcony,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",Greater Accra,Spintex,False,Semi-Furnished,5.6376136,-0.1266064
